ID,Tweet,True Label,BERT,BERT 22,BERT 9,,,Model,T test
8087,#aapstorm did arnab congratulate any party before? he use to say all these days he won't accept appreciation from parties nor appreciate,0,0,1,0,,,BERT 22 vs BERT,0.00003454482395
9956,are bhai arram sey abhi to shuruwat hai 6 #indvspak,0,0,0,0,,,BERT 9 vs BERT,0.001250881079
3390,Agar main sehmat hun Jo b phle se hai to ?,2,0,0,0,,,BERT 9 vs BERT 22,0.3382455364
5353,kyun maze le rahe ho .  .  .  .  office main starsports . com referesh kar kar ke match dekh rahe hai,0,0,1,0,,,,
7073,bc kisne kaha tha apna alag desh maangne ke liye. mrate raho ab. bijli hai ni chle the match jeetne #indvspak,2,2,2,2,,,,
10428,Han bro roza to rahkata hun,0,0,0,0,,,,
8887,fattu tu apne page k link bta dekh tere page ka kya hoga  p Ye d.u k members ki unity h koi #Chu **yapa nhi h,2,2,2,2,,,,
5924,modiji aap great ho but dekhna kahin bahr rishte ache karte karte aapke 5 saal na nikal jayen ..:P,1,1,1,1,,,,
2610,ye dialogue bipasha bolti to jyaada accha tha  !  !  !,0,1,1,0,,,,
10733,paper finished   cma's over   blake and miranda dominated   accounting hw got pushed to wednesday .  going to bed happy :),1,1,1,1,,,,
7209,ur evy post seriously sab kuch yaad dila dete hein,1,1,1,0,,,,
10593,Ghar ja ra hu ab bus em,0,0,0,0,,,,
1153,sher ka kutte kab se muqabla karne lag gaye . sher sher hi rahega . or rhi bat modi ki to keju modi ke pairon ki dhool bhi nhi hai . modi modi modi and only modi,2,2,1,2,,,,
4698,1 of d truest confessions ..... same flngs here also ...... May God bless u ...,1,0,1,0,,,,
6670,Bhai 4.10 hua jaldi aao na,0,0,0,0,,,,
11924,#aapkidilli #aapsweep #delhidecides photoshop ne aaj dum tod diya.,0,1,0,0,,,,
8331,acha ye btaaa kmlesh bua k bare mei kya bol rh tha,2,0,2,1,,,,
6666,ilove u .. bai.. .. im soo sad ur arresst..,1,1,1,1,,,,
10816,yyaaro abhi abhi notice kiya  .  . jese hi news aai ki i ndia haar gya .  .  .  . to sab jagah dukhi ka maahol .  .,0,2,2,2,,,,
7296,contra mein double player khelte waqt jab kisi ki chaal khatm ho jati thi toh c ka button dabakr saath wale ki chaal utarne ka maza hi kuchh aur hua karta tha .  .  .  .,1,2,2,2,,,,
8534,it's wednesday !  !  you know what that means .  .  .  .  new episodes of the challenge: battle of the seasons &amp; american horror story: asylum !  !,0,1,1,1,,,,
6237,Beta partyg toh banti hai,0,2,0,0,,,,
9718,r u looser  ?  ?  ?  ?  .   .  sucide krne s kch nh hoga  .  .,2,2,2,2,,,,
3493,shaan is awesome .  .,1,1,1,1,,,,
4101,kaafi serious h bhai tu ........ tnsn n le ..... no one is prfct ...... haathi chle bajar ... kutte bhoke hajar ....... mast reh ..... ;),1,1,1,2,,,,
22,so pls,2,0,2,0,,,,
3746,"Saale get a life . Jerk ! Itni si baat pe breakup ? Girl friend banane se pehle nhi pta tha ? Andha hogya tha ? Guys like you are after \ "" Inky pinky\ "" girls ! Bimbos  /",2,2,2,2,,,,
4648,M tonhi mile ??,2,0,0,0,,,,
10509,dude those were the days of my life .  .  .  .  .  .  .,1,1,1,1,,,,
8539,"hamare zamaane main bas question different hota tha -  "" sachin kitne pe hai ?  ""  :-/ kya din the woh .  . sighhh !  !  !",1,0,1,0,,,,
8927,people are posting pictures of pics from the movie day after tomorrow    all like 'god have mercy on our souls' lmfao,0,0,0,0,,,,
5412,are is takle k bhi bajao .  .  . sale ko khane se fursat nhi .  .  .  .,2,2,2,2,,,,
1116,meney is post ko dekh ke jab school ka board pada tabhi samajh lia tha ki ya to ye tinde khake sapna dekh raha hey ya fir shaan sapna dekh raha hey :)))),0,1,1,1,,,,
585,guddu bhai ko standing problem hogayee .  .  .  . chalo pamela ke bahane kuch raunak toh aayee guddu ke kacche me  .  .  .  .  .  :d :d :d,1,1,1,1,,,,
10018,#fashionpollice pinstripes are not in this summer use mufflers to beat the heat #aapsweep #aapstorm #theperfectstorm #67/70,0,0,0,0,,,,
9971,To tu kare kya h ghar ne,2,0,0,0,,,,
9941,Sat sat naman,0,0,0,0,,,,
6180,to tum hi ho wo jo sabko rply krte ho ' hi ' ka,0,0,0,0,,,,
7431,we r wid u arvind kejriwal,1,1,1,1,,,,
3320,bhai i  m aslo big fan of you .. i m frm kashmirr    ..apka bajrangi bhaijaan main kaise experince Raha ..woh bhi kashmir main shooting kr k nd pls replyy  aur kaise laga humra kashmir,0,1,1,1,,,,
5153,Ap shdi kr loooo,0,0,0,0,,,,
3417,just watched the campaign with will ferrell and zack galafianakis .  .  .  good fun for a wednesday .  #hilarious,1,1,1,1,,,,
9137,pakistanko jeetna aati nahi hindustan ko jati nahi! #cwc15 #indvspak go on team india! @starsportsindia http://t.co/ws0vgudru8,1,0,0,1,,,,
2002,Ghar ja ra hu ab bus em,0,0,0,0,,,,
5048,@someUSER i am hoping we will rise up again .  and make tomorrow a better day !  hercules for president !,1,1,1,1,,,,
4053,aaj malum hua kya patar patar hota hai staff room mein,1,0,0,0,,,,
2754,this was sooo trueee :p mere zindagi ki kahaani .,1,1,1,1,,,,
5396,ruk,0,0,0,2,,,,
34,Asslamualeykum bhai jaan,1,1,1,1,,,,
11009,sir aap dil jeet liya kya movie ti,1,1,1,1,,,,
12700,Bhupender bro sahi keh rhe ho isse bada chtiya mene apni zindagi mai nhi dekha yahi hai chutiya no1,2,2,2,2,,,,
9445,Kal  match  dekha  ?,2,0,0,0,,,,
10294,only engineers know the value of 1 year gap... kejriwal proves. #aapstorm,0,2,2,2,,,,
9032,catch supersport united vs bidvest wits at the lucas moripe stadium at 15h30 on saturday live on ss4 #ssfootball,0,0,0,0,,,,
653,modi ji namaskar . i am from upgzb . bhumi adigrahan bill ko clear kro .,0,1,1,1,,,,
8367,@nigelbritto @dev_fadnavis oh can we please not sell it to maharashtrians?! mainly because they seem quie cool about this #beefban.,0,2,0,2,,,,
1442,p + q +r = 51 .  .  solved !  gudoo yeh hai answer .  kachua sir se fast solve kar liya,1,2,2,0,,,,
5592,baithe baithe kya karein karna hai kuch kaam shuru karein dharna lekar #landacquisitionbill ka naam,1,2,0,0,,,,
3149,exhausted but buzzing after day 1 of #yalta2012 .  need sleep   vitali klitschko speaks tomorrow   might challenge him to an arm wrestle .  .  .,0,2,2,0,,,,
5953,are abhi to Dus minuts baki hai Bhai....,0,0,0,0,,,,
5256,ofcourse salman isme sochna kaisa..,0,2,0,0,,,,
4924,Modi tujhe jaan se maarna mera kaam hai  main Khalistani huuuuuuu,2,0,0,1,,,,
8572,done that .  .  .  .  but mujhay acting bhi isi waja say mil jati thi .  .  .,0,1,1,1,,,,
11896,bhai tere bachpan me virat kohli kab se aa gaya ?  tu toh contra waale zamane se hai na ?  :p,0,0,0,0,,,,
568,mario toh mera fav tha .  . but ab usey ps2 ne replace kar dia .  . uff vo kya din the .  . ab sirf burnout revenge khelti hu .  .,1,2,1,1,,,,
6930,kal modiji nagpur jar nam len sir he vinti aahe sir,0,0,0,0,,,,
3710,gaddar kejriwal,2,1,1,1,,,,
8924,modi ji aap ki soch bahut sahi lgti hai progres n hona hi sabki wajah hai is liye sabse zaroori hai ki desh ka vikas ho,1,1,1,1,,,,
10380,@someUSER yeah with miss may i too .  it's on the 1st at backstage live,0,0,0,0,,,,
11716,ye saale sirf aap se sawal puch kr hi jitna cha rahe hain,2,2,2,2,,,,
11121,abhi trailor kuchh mahine pahle dekha tha ?  .  .  .  .,0,0,0,0,,,,
7117,Salman bai ap kese hen ma b ap ka fen hun,1,0,1,1,,,,
6010,world cup ke baad isko pata chalega,0,1,1,1,,,,
11484,bola hai admin    aankhe kholo duites    know the all facts,0,0,0,0,,,,
7273,tera bhi to math k period m potty k bhane baag jaya krta ta ahhh sir ptt m bhut drd hoo ra h ………sirrr,0,0,0,0,,,,
12724,these are 3 new avril lavigne songs from the 5th album: 1 .  hush hush: songwriter/composer: david hodges  chad kroeger &amp; avril lavigne .,0,0,1,1,,,,
1661,can't wait. excited for the match. yar jalde se shoro karo.. #indvspak,0,1,1,1,,,,
1331,sab item ek hi baar bata do,0,0,1,0,,,,
11846,thanks,1,1,1,1,,,,
3674,salman bhai shadi kab karoge?,0,0,0,0,,,,
3481,guddu itni paas se tv dekhega toh aankhe button ho jayengi !,2,0,1,1,,,,
9692,loveu tooooo ur vey handsam,1,1,1,1,,,,
11355,yes thanx,0,0,0,1,,,,
11515,@someUSER good girl   i'll see you tomorrow ?,1,1,1,0,,,,
3631,Wo hi,2,0,0,0,,,,
374,picture mein sheer dikhtay hoo aur real mein maha sheer sallu,1,0,1,1,,,,
4331,Once  upon  a  time  in  Mumbai  mein  ek  scene  aata  hai  jisme,1,1,1,1,,,,
7130,i think i may have a heart attack for jason wu's new collection .  so charlotte rampling in the night http/URL,1,0,0,0,,,,
6700,baaki sabhi baato ko maaro goli meine butter chicken khaya hai,0,2,0,0,,,,
7588,oye kake yehi problem h bs aaj ki genratn ki  .  .  .  kal kuch hua galat  .  .  .  toh aaj sahi chhiye  .  .  abe chuchu  .  .  .  time lagega  .  .  .  achanak se sb hota h toh aise he krte h sb  .  .  .  simple time de uske parnts ko  .  .  khud ko  .  .  .  .  aur soch k kyaa krna h to make it normal  .  .  .  saalo mint se pehle move on ki baat krdi  .  .  .  madar pyaar tha ya saap sidi ka game  .  .  .  if u love her  .  .  .  show it  .  .  .  do nethng wat it takes  .  .  .  yaaara pyaaar mein toh log sarkarein giraa de  .  .  .  tu chaar aansu girake kya sabit kr rha h  .  .,0,2,2,2,,,,
9612,Nhi pata,0,0,0,0,,,,
5973,Isliye tera msg abhi padha ??,1,0,0,0,,,,
6579,@someUSER i love nz was there in feb have friends with vineyard which is useful !  !  in nelson lovely part of nz !,1,1,1,1,,,,
12219,Nayi bike ..,1,2,2,2,,,,
11628,Aaj ki iftar party meri taraf se invition hai bhaijan apko pure pariwar ke sath,0,0,0,0,,,,
7573,Hello koi hai ?,0,0,0,0,,,,
11486,Incase the above is a true situation  my only advice is not to be ashamed of oneself . If you are that way so its fine  but you are no less than anyone .,1,1,2,1,,,,
3197,I don't know if it is related ; Yesterday Civil department and Chemical department had a function in the Gulmohar building . One of the admins/moderators could be a graduating student from them .,0,0,0,0,,,,
867,delhi - kolkata overnight?? prabhu ji jaan lena hai kya?? #railbudget2015,2,0,0,0,,,,
4420,ye peso se ai bhidddd hy .  .,2,1,1,1,,,,
4664,Salman sir bahot acchi movie hai super hit blockbuster movie.,1,1,1,1,,,,
5262,ye to hona h tha .  .  hahahahaha,0,0,2,0,,,,
10715,Okkk,1,0,0,0,,,,
3647,Matlab,0,2,2,2,,,,
9584,Ghar par SB thk mam?,0,0,0,1,,,,
8090,@gurmeetramrahim #msgyouthicon ji pitaji... aap chaho to sab kuch karwa sakte ho... papa the great,1,1,1,1,,,,
3704,congress nahi aap nikli indian team .  .  .  hahaha,2,2,2,2,,,,
9661,rt @avnishkajla: aam aadmi pr bdha bhar @nagma_morarji @drunkvinodmehta @incindia #railbudget2015 http://t.co/pfkdpx3aw1,1,0,0,0,,,,
156,thand kitni bhi ho   cycle race jarur hoti thi :-p,0,0,0,1,,,,
4167,somethings can't be forgotten .  .  .  .  awesome creativity guys .  .  .  hats off .  .  .  .  :d :d,1,1,1,1,,,,
206,Didi. Abhi rmto akka nahi hai ki kab aaunga..,0,0,2,0,,,,
11914,@rajasthanroyals #royalbattle two batsmen to score 5 centuries in #indvspak are sachin tendulkar &amp; salman butt,0,1,1,1,,,,
5141,koty ki jay ho bolo jay ho,1,1,1,1,,,,
8827,Salle yaha aaya hua hai,1,0,1,0,,,,
5128,@someUSER follow @someUSER    on november 26   find her outside the bell center and meet her .  please ?  &lt;31,0,0,0,0,,,,
2829,ye sala aabmi hai ya transister .,2,2,2,2,,,,
5582,Hi mam,1,1,1,1,,,,
3203,awesome acting (y) :p,1,1,1,1,,,,
2862,just got tickets to see muse in florida .  that   combined with the grammys two weeks prior   equals a really busy february for ruby and myself .,0,1,1,1,,,,
336,@someUSER @someUSER i certainly wouldn't be spending my hard earnt taking the kids to see say shels 2nd xi v us   clubs will fold no doubt,2,2,2,2,,,,
3025,Supar hai boss,1,1,1,1,,,,
349,off to bed with sexy mr man   tomorrow morning watch out galveston here we come just made 100 jello shots,0,1,1,1,,,,
2585,only bjp can do everything .  .  but not anti women party[aap],0,2,2,2,,,,
4608,Salman bhai agar aap ne apni movie mein Babbu maan ka song le liya to kam se kam 20 laakh fan ek din mein jyada ho jayenge,1,1,1,1,,,,
7326,hmm hrt touching moVieeee,1,0,1,1,,,,
4219,Bahan chood teri,2,0,0,2,,,,
1721,a' ap ki 'a' pani 'p' echchan is aam adami. n thats how aap n delhi be known onwards. #aapsweep #delhidecides,0,0,0,0,,,,
6412,thik hu,0,2,0,0,,,,
4781,Nice salu bhai,1,1,1,1,,,,
11660,guddu ko smart phone ki jarurat hai :p,1,1,1,1,,,,
8635,rajai hahaha .  .  .  . ek fuski ( choti si paaad ) ho jaye :p,0,1,1,1,,,,
627,#rahulonleave sad to see degeneration of @thenewshour @timesnow to a spicy saucy entertainment channel - land bill was much more important,2,2,2,0,,,,
4480,Saale 2mnt me to mere naada nhi khulta  to or kya kr paunga .... Chal metro ka rout change kr ..,2,2,2,2,,,,
10981,"i'm not the go out type .  saturday nights are my  "" stay up all night with the fellas on 360 ""  night   but i think i'll dive into paterno's bio .",0,0,0,0,,,,
3290,Very true .. Meri b papa se bs haan na mein baat hoti h ..  D,0,0,1,1,,,,
885,😜,2,0,0,0,,,,
10741,#railbudget2015 mein bullet train ka pata chala kya..? kya woh bhi chunabi jumla tha... @drunkvinodmehta,1,2,1,2,,,,
6312,Mehenga hai kya.,0,0,0,0,,,,
6946,Sorry frndz salman sir thore bzy hain abi aaty hain 5 mint me.,0,1,1,0,,,,
3622,rt @jaiminn_p: this is brilliant 1 to go! #indvsuae,1,1,1,1,,,,
4426,Yhe special song 4 eid .....yhe party meri taraf se,1,1,1,1,,,,
1580,i challenge katie to stick pins in my eyes tomorrow .  i dare you .,0,1,1,1,,,,
6385,mujhe 1 baar social ki maam ne punishment di thi staff room ke saamne khada kiya tha tab pata chala tha bhai ki mandir me ghante ka kya hota hoga .,2,2,2,2,,,,
3325,#aap #delhidecides #arvindkejriwal #uturn vote for freebies. 5sal kejriwal fir delhi banega paschim bangal http://t.co/mzvknqeq3w,0,2,2,2,,,,
5814,apki aane wali film bajrangi bhaijan suuuuuupppppppeeeeeeerrrrrrrrrr hit ho,1,1,1,1,,,,
11817,Ye dole banane hain apko na,0,2,0,2,,,,
5856,to prblm kya h agr tum log pyr krte o to  .  .  .  ?  ?,0,0,0,0,,,,
1394,this sunday   come watch the ravens take on the browns   and help support the baltimore humane society !  captain .  .  .  http/URL,1,1,1,1,,,,
297,rohini romita  .  .  . kahi sunni hui story hain na .  .  .,0,2,2,2,,,,
8450,haan kar rha hoon,0,0,0,0,,,,
4462,Thk h na kaam karenge,0,2,2,2,,,,
10046,Koi to rok lo ise wrna ye dunya tabah kr dega,2,2,2,2,,,,
2953,bhai by god aisa hi hota tha :p,1,0,1,1,,,,
9214,Salman bhai aapne roza rakha he ke nahi? Ramza ka,0,0,0,0,,,,
8041,abhi tak nahi aye salman bhai online?,0,0,0,0,,,,
1681,Ohhh kya baat Tu chitegi.. Rat k 04 par ek ladke ko salla bolti h..report kra sunga Dunga 0 4,1,2,2,2,,,,
10775,@someUSER i had okc im playin online .  .  .  the nigga had da knicks .  .  i was bustin dey ass then the 4th come   raymond felton and jr smith,0,0,0,0,,,,
3324,Se,2,0,0,0,,,,
6431,isse accha to Mere Dad Ki Maruti dekh lo ....,0,2,2,2,,,,
5447,#landacquisitionbill jaha tak mujhe pata hai. naye sansodhan k dwara kisano ki jamin chhinne ki sajis hai.,2,2,2,2,,,,
5034,kab aarahe ho,0,0,0,0,,,,
4312,just wrote a great song with mitch daniels !  really looking forward to performing it with him on thursday !  :),1,1,1,1,,,,
9641,aap ko vote kro q ke yeh emandar neta hai or yeh state or india ke bhlai ke bare me soch te hai q ke yeh dil ka saf add me hai  . is le a mera or aap ka vote aap ko,1,0,2,1,,,,
1020,tu gaana gaa  .  .  .  .  humko aajkal h intezaar koi aaye leke pyar  .  .  .  .  .  n ye soch pagle jab tere dost ko pta chlega ki tune uske liye kya sacrifice kiya h tab u ll more imp for him den dat gal  .  .  .,0,1,1,1,,,,
1195,ghajab yaad dilaaye school ke din .  .  .  'subah tak sookh bhi jaayega ye' was epic !,1,1,1,1,,,,
10036,I would love to see that sexy piece,1,1,1,1,,,,
3464,sabme 1 talent hota h .  .  .  .  .  . ye sabse different hai,0,1,1,1,,,,
2640,5 pm bje krenge direct bt mere saat,1,0,0,0,,,,
10469,january jones in jason wu: usually i adore january's red carpet looks but this isn't for me .  nude with black mesh =meh http/URL,2,0,1,0,,,,
11273,Pata na yar,0,0,0,0,,,,
4883,bhai tu delhi walo ka naam kyu kharab kar raha itni bekar english likhi he gramatical mistakes kaafi hai yaar .,2,2,2,2,,,,
