Feature,Chi-Square,P-Val
lang_entropy,1.9045741824173574,0.1675672148995848
p_switch,2.6217472018552437,0.10540831875182523
burst,0.1608630087702232,0.6883632055046602
span_entropy,0.16935751175931335,0.6806834395814346
memory,9.367833855060354,0.0022082632653320977
v,0.33188797024003214,0.5645494919118619
f1,8.697655356723118,0.0031861962216164184
f2,1.9830831324215004,0.15906598164506675
mean_hi,7.061752387148717,0.007874693195154735
stddev_hi,6.59579142054012,0.010222010710987432
mean_en,9.690453177329669,0.0018522785153575042
stddev_en,5.792619524442683,0.016093591063157924
span_mean,3.805247007355817,0.05109223945733339
span_std,1.1416964032372818,0.28529415418024157
hi_span_mean,3.004355495710911,0.0830409973720502
hi_span_std,0.6460181528011291,0.4215399015589443
en_span_mean,11.87841472370014,0.0005678825654756352
en_span_std,35.06995250816037,3.1807110167055653e-09
l2_mean,0.5353973038566894,0.46434651770216473
l2_std,0.20636509001694908,0.6496314505769751
cos_mean,0.6538788429243128,0.4187292961886765
cos_std,0.2437103298650224,0.6215390688394118
