Feature,Chi-Square,P-Val
lang_entropy,12.301965355534763,0.00045248158107246534
p_switch,13.198414087748063,0.00028018611546498884
burst,23.827250834213622,1.053799501864744e-06
span_entropy,26.745355690308813,2.3210892132532665e-07
memory,10.728540223158564,0.0010549563821468445
v,37.48904895462077,9.192767884741716e-10
f1,12.589696104494717,0.0003878792069060521
f2,1.552270590749296,0.21280055299977355
mean_hi,24.181451609554905,8.767259983583209e-07
stddev_hi,24.257790365567537,8.426556735623408e-07
mean_en,29.39977379555691,5.888451555050768e-08
stddev_en,35.901793646873365,2.0751759281848735e-09
span_mean,25.951332134744547,3.5013374235225876e-07
span_std,33.08110364207721,8.839362259915175e-09
hi_span_mean,11.501071377305541,0.0006955608627890204
hi_span_std,30.86748131453181,2.7626232150018846e-08
en_span_mean,13.942902886116453,0.00018844776768009834
en_span_std,13.066268697900208,0.00030066148268120943
l2_mean,23.19298838280573,1.4653061773946168e-06
l2_std,32.54035938992781,1.167427976718248e-08
cos_mean,0.1572483511587215,0.6917026324770644
cos_std,33.005463609446025,9.190025162613185e-09
