lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
1e-05,0.001,0.6052884615384615,0.6074544012688342,0.6061439451101076,0.58203125,0.5833333333333334,0.5820329021124964
1e-05,0.0001,0.6121995192307692,0.6098334655035687,0.6082332327322205,0.603125,0.6047619047619047,0.6020272116462282
2e-05,0.001,0.6028245192307693,0.6003172085646312,0.599583729700066,0.6018229166666667,0.6007936507936508,0.599254564523205
batch_size,lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
32,2e-05,0.001,0.6098557692307692,0.6074544012688342,0.6021350500480666,0.6109375,0.6126984126984127,0.6041545635951601
32,2e-05,0.0001,0.5954927884615385,0.5963521015067407,0.5965492082965835,0.60625,0.6079365079365079,0.6071196997446997
32,3e-05,0.001,0.5957932692307693,0.5931800158604282,0.5934832939741309,0.58125,0.5825396825396826,0.5838271683146474
32,3e-05,0.0001,0.6114182692307693,0.6090404440919904,0.6089861614551356,0.5924479166666667,0.5952380952380952,0.5945533429310912
32,5e-05,0.001,0.5896033653846154,0.5892149088025377,0.5875309289171148,0.5796875,0.584920634920635,0.582684628037891
32,5e-05,0.0001,0.6153245192307693,0.6130055511498811,0.6111634806894636,0.5921875,0.5936507936507937,0.5910374598936189
batch_size,lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
16,2e-05,0.001,0.5823393378773126,0.5820777160983347,0.5780615721424743,0.6060126582278481,0.6063492063492063,0.6017485949635794
16,2e-05,0.0001,0.6056475170399221,0.6050753370340999,0.6029869214060597,0.6102320675105486,0.6103174603174604,0.6074383337252157
16,3e-05,0.001,0.6084469328140214,0.6082474226804123,0.604446269950707,0.5883438818565401,0.5888888888888889,0.5846794397448691
16,3e-05,0.0001,0.5809396299902628,0.5804916732751785,0.5838786295568229,0.5909810126582279,0.5912698412698413,0.5943340425543787
16,5e-05,0.001,0.4557570593962999,0.4551942902458367,0.37641160227258624,0.4509493670886076,0.4507936507936508,0.3749538638805762
16,5e-05,0.0001,0.5944498539435248,0.5947660586835845,0.5966858195131931,0.5788502109704641,0.5793650793650794,0.5828847664548162
