batch_size,lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
32,2e-05,0.001,0.6094951923076923,0.6082474226804123,0.6081228084262706,0.58828125,0.5896825396825397,0.5901779221723594
32,2e-05,0.0001,0.6036057692307693,0.6011102299762093,0.6007728524482678,0.5921875,0.5936507936507937,0.5936531362079726
32,3e-05,0.001,0.6234975961538461,0.6201427438540841,0.6134952801658853,0.5953125,0.5968253968253968,0.5911034975068992
32,3e-05,0.0001,0.5919471153846154,0.591593973037272,0.5906209610260925,0.5833333333333333,0.5873015873015873,0.5865083638781198
32,5e-05,0.001,0.5927283653846154,0.5923869944488501,0.5884353735188719,0.5942708333333333,0.5984126984126984,0.5930650885708832
32,5e-05,0.0001,0.5786658653846154,0.578112609040444,0.5763142680732471,0.58984375,0.5912698412698413,0.5908177874408039
batch_size,lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
16,2e-05,0.001,0.6165408958130477,0.6161776367961935,0.6127314911580751,0.6012658227848101,0.6015873015873016,0.5992677326858118
16,2e-05,0.0001,0.6044912366114897,0.6042823156225218,0.6014626177146566,0.6028481012658228,0.6031746031746031,0.6016021379668685
16,3e-05,0.001,0.607838364167478,0.6074544012688342,0.6053043040568116,0.5933544303797469,0.5936507936507937,0.5922780862436979
16,3e-05,0.0001,0.6015092502434274,0.6011102299762093,0.5980812889008221,0.6081223628691983,0.6087301587301587,0.6042884445110545
16,5e-05,0.001,0.43025803310613436,0.42981760507533706,0.3775646715731015,0.4179852320675106,0.41825396825396827,0.36797672746315124
16,5e-05,0.0001,0.5951801363193768,0.5947660586835845,0.589810420231604,0.582542194092827,0.5833333333333334,0.5775670456750939
